etablissement,contreventions
RESTAURANT BASHA,23
KAIDO SUSHI,13
SUPER MARCHE BKR,10
PRODUITS ALIMENTAIRES ORIENTAL ENR,10
DOUBLE PIZZA,10
RESTAURANT LE SOMMET,10
SUPER MARCHE TROPIC,10
SUSHI PLUS,9
THAI EXPRESS,9
BUFFET CHINOIS FU LAM,9
LE CRISTAL CHINOIS BBQ EXPRESS,9
LAHMADJOUNES ARMENIENS,8
ESPOSITO,8
RESTAURANT NOUVEAU CASA DE LA PIZZA,8
SAINT-JEAN BAGEL,8
RAM SWEETSHOP,8
RESTAURANT CARI MASALA,8
VINCENT SOUS-MARIN,8
RESTAURANT WOODLAND,7
RESTAURANT VEGETARIEN PHO-DA SON,7
BOULANGERIE & PATISSERIE AMIENS,7
RESTAURANT AMIR,7
CARRIBEAN SPICY (COMPTOIR JANET SPICY),7
RESTAURANT JOLEE,7
MARCHE MICHELET,7
FEFA RESTO,7
SECOND CUP,7
RESTAURANT NADA,7
RESTAURANT SANA HALAL,7
DEPANNEUR SOPHI ANDREW,7
IMPERIAL,7
PIZZA RONI,7
RESTAURANT KALOHIN,7
SUPERMARCHE SAKARIS,6
EPICERIE MARCHE D'OR MJ INC.,6
SOUVLAKI GEORGE,6
RESTAURANT FOO LAM,6
ICHI SUSHI,6
RESTAURANT DELUXE,6
RESTAURANT WAHLY,6
MARCHE D'ALIMENTATION COREEN MTL,6
ALIMENTS MARINA,6
LA BELLE PROVINCE,6
RESTAURANT SUSHI CRESCENT,6
BUFFALO BILL WINGS,6
RESTAURANT CULTURES,6
LOTUS BLEU,6
RESTAURANT ALISSAR,6
PARIS CAFE,6
QUINGHUA DUMPLING,6
L'EUROMARCHE LATINA (1980),6
DEPANNEUR DE CHARETTE,6
PATISSERIE LES TUILERIES,6
RESTAURANT FUSION,6
PIZZA EXPRESSO,5
RESTAURANT PUSHAP,5
RESTAURANT QUEBERAC,5
ALLO MON COCO PLACE VERTU,5
L'GROS LUXE PLATEAU,5
CHARCUTERIE ARGANE,5
RESTAURANT NUDO,5
PROSCIUTTIFICIO JOHNNY,5
WOK CAFE,5
BOUCHERIE ALIMENTS MARCHIGIANI,5
LA GROTTE,5
RESIDENCE ANJOU 5747,5
MARCHE C & T,5
HURLEY'S BISTRO IRLANDAIS,5
BUFFET CHINOIS MANDARIN,5
SUSHI ST-DENIS,5
LA POISSONNERIE EMPEREUR ROUGE,5
LE MANDARIN,5
LASALLE DRIVE-IN,5
HOUSTON SQUARE VICTORIA,5
RESTAURANT RINO PIZZA,5
MCDONALD'S,5
BOUCHERIE BISMILLA,5
BOULANGERIE PATISSERIE PLOUGASTEL,5
FILOTI PIZZERIA INC.,5
FRUITERIE MILANO,5
EPICERIE MONDIANA,5
RESTAURANT ITAMEA-BEAUBIEN/LA MERVEILLE DU VIETNAM,5
RESTAURANT NOUILLES ETC,5
S.U.B.-SOMETCO INC. (RESTAURANT SUBWAY),5
RESTAURANT AMIS,5
RESTAURANT QUEBEC DELI,5
SORGHO ROUGE,5
RESTAURANT DELI-CAPRI,5
RESTAURANT NOUILLES IMPERIALES,5
RESTAURANT JADE QUARTIER CHINOIS,5
CULTURES,5
MARCHE SAUVE,5
SUPERMARCHE L'OLIVIER,5
DELI QUEEN,5
